what,kind,bundleId,bundleVersion,description,time
started,bundle,org.fornax.soa.businessdsl.ui,1.2.0.201103141328,"org.fornax.soa.businessdsl.ui",1300462471734
started,bundle,org.fornax.soa.environmentdsl,1.2.0.201103141328,"org.fornax.soa.environmentdsl",1300462471765
started,bundle,org.fornax.soa.environmentdsl.ui,1.2.0.201103141328,"org.fornax.soa.environmentdsl.ui",1300462471953
started,bundle,org.fornax.soa.semanticsdsl.ui,1.2.0.201103141328,"org.fornax.soa.semanticsdsl.ui",1300462472093
started,bundle,org.fornax.soa.sladsl,1.2.0.201103141328,"org.fornax.soa.sladsl",1300462472140
started,bundle,org.fornax.soa.sladsl.ui,1.2.0.201103141328,"org.fornax.soa.sladsl.ui",1300462472359
started,bundle,org.fornax.soa.servicedsl,1.2.0.201103141328,"org.fornax.soa.servicedsl",1300462472406
started,bundle,org.fornax.soa.solutiondsl,1.2.0.201103141328,"org.fornax.soa.solutiondsl",1300462472406
started,bundle,org.fornax.soa.basedsl,1.2.0.201103141328,"org.fornax.soa.basedsl",1300462472406
started,bundle,org.fornax.soa.basedsl.ui,1.2.0.201103141328,"org.fornax.soa.basedsl.ui",1300462473843
started,bundle,org.fornax.soa.profiledsl,1.2.0.201103141328,"org.fornax.soa.profiledsl",1300462473968
started,bundle,org.fornax.soa.solutiondsl.ui,1.2.0.201103141328,"org.fornax.soa.solutiondsl.ui",1300462474031
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1300462474562
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1300462474562
started,bundle,org.eclipse.m2m.qvt.oml.project,2.1.0.v20100524-1530,"org.eclipse.m2m.qvt.oml.project",1300462475343
started,bundle,org.fornax.soa.servicedsl.ui,1.2.0.201103141328,"org.fornax.soa.servicedsl.ui",1300462481500
started,bundle,org.eclipse.xtend.typesystem.emf.ui,1.0.1.v201008251147,"org.eclipse.xtend.typesystem.emf.ui",1300462482531
started,bundle,org.eclipse.uml2.uml,3.1.2.v201010261927,"org.eclipse.uml2.uml",1300462482546
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v20100521-1847,"org.eclipse.emf.mapping.ecore2xml",1300462482546
started,bundle,org.eclipse.xtend.typesystem.uml2.ui,1.0.1.v201008251147,"org.eclipse.xtend.typesystem.uml2.ui",1300462482546
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1300462482562
started,bundle,org.eclipse.xtend.typesystem.xsd.ui,1.0.1.v201008251147,"org.eclipse.xtend.typesystem.xsd.ui",1300462482578
started,bundle,org.eclipse.xtend.shared.ui,1.0.1.v201008251147,"org.eclipse.xtend.shared.ui",1300462482578
started,bundle,org.eclipse.xpand.ui,1.0.1.v201008251147,"org.eclipse.xpand.ui",1300462482578
started,bundle,org.eclipse.xtend.check.ui,1.0.1.v201008251147,"org.eclipse.xtend.check.ui",1300462482593
started,bundle,org.eclipse.xtend.ui,1.0.1.v201008251147,"org.eclipse.xtend.ui",1300462482593
started,bundle,org.eclipse.emf.converter,2.5.0.v20100914-1218,"org.eclipse.emf.converter",1300462483015
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1300462485218
error,log,,,"Build errors for sampleservices.server",1300462486312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462487578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462491796
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1300462491812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1300462491812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462496375
started,bundle,org.fornax.soa.servicerepo,1.2.0.201103141328,"org.fornax.soa.servicerepo",1300462505078
started,bundle,org.fornax.soa.servicerepo.ui,1.2.0.201103141328,"org.fornax.soa.servicerepo.ui",1300462505093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462519578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1300462519593
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1300462535171
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1300462535171
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1300462535171
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1300462535171
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1300462535781
opened,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300462536828
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300462536921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462541453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462557203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300462559796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300462562656
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1300462586234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462587187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462588609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1300462588625
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1300462593765
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1300462593875
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1300462594437
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1300462594500
started,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.mapper",1300462594500
started,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.5.2.201102280943-SR3,"org.springframework.ide.eclipse.webflow.ui.editor",1300462594515
started,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.5.2.201102280943-SR3,"org.springframework.ide.eclipse.beans.ui.editor",1300462594546
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20110216-1758-H51-GA,"org.jboss.ide.eclipse.as.ui.mbeans",1300462594546
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1300462594703
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1300462594703
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1300462594875
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1300462595187
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1300462595203
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1300462595421
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1300462596421
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1300462596500
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1300462597171
opened,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462597296
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462597921
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1300462598109
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1300462598343
started,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.kb",1300462607328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300462642718
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1300462642953
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1300462643109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300462650234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300462652312
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300462665187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462672640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462673640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1300462673656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462691000
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1300462702296
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1300462702625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462703093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1300462703109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462713093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462722703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1300462722718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462725093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462736531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1300462736546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462746203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462754000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1300462754015
opened,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462759640
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462759750
started,bundle,org.eclipse.wst.wsdl,1.2.104.v201012082239,"org.eclipse.wst.wsdl",1300462762796
started,bundle,org.eclipse.bpel.model,0.6.0.v20110215-1230-H24-GA,"org.eclipse.bpel.model",1300462763046
started,bundle,org.eclipse.bpel.common.model,0.5.0.v20110215-1230-H24-GA,"org.eclipse.bpel.common.model",1300462763078
started,bundle,org.eclipse.bpel.validator,0.6.0.v20110215-1230-H24-GA,"org.eclipse.bpel.validator",1300462763203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300462777703
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300462781937
opened,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462782312
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462782421
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300462793687
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462798421
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300462801828
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1300462802015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300462805968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462863687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462888687
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300462888703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462897687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462899640
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300462899953
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1300462901265
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1300462901625
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1300462901625
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1300462901625
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1300462901625
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1300462901625
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1300462901625
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1300462901625
stopped,bundle,org.jboss.tools.bpel.runtimes,0.4.0.v20110215-1230-H24-GA,"org.jboss.tools.bpel.runtimes",1300462901625
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1300462901625
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1300462901625
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1300462901625
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1300462901625
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1300462901625
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1300462901640
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1300462901640
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1300462901640
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200906020553,"org.eclipse.datatools.connectivity.ui.templates",1300462901640
stopped,bundle,org.eclipse.datatools.sdk,1.7.0.v200906161850,"org.eclipse.datatools.sdk",1300462901640
stopped,bundle,org.jboss.tools.esb.project.ui,1.4.0.v20110215-1314-H32-GA,"org.jboss.tools.esb.project.ui",1300462901640
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1300462901640
stopped,bundle,org.eclipse.m2m.qvt.oml.debug.ui,1.0.1.v20100917-1530,"org.eclipse.m2m.qvt.oml.debug.ui",1300462901640
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,2.1.0.v20091116-1630,"org.eclipse.m2m.qvt.oml.ui",1300462901640
stopped,bundle,org.eclipse.xtext.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.xtext.ui",1300462901640
stopped,bundle,org.jboss.tools.cdi.ui,1.1.0.v20110215-1333-H24-GA,"org.jboss.tools.cdi.ui",1300462901640
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.0.v20110215-1333-H24-GA,"org.jboss.tools.cdi.xml.ui",1300462901640
stopped,bundle,org.jboss.tools.cdi.text.ext,1.1.0.v20110215-1333-H24-GA,"org.jboss.tools.cdi.text.ext",1300462901640
stopped,bundle,org.jboss.tools.cdi.core,1.1.0.v20110215-1333-H24-GA,"org.jboss.tools.cdi.core",1300462901640
stopped,bundle,org.jboss.tools.esb.validator,1.3.0.v20110215-1314-H32-GA,"org.jboss.tools.esb.validator",1300462901640
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.text.ext.richfaces",1300462901640
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.text.ext.facelets",1300462901640
stopped,bundle,org.jboss.tools.seam.text.ext,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.text.ext",1300462901640
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.text.ext",1300462901640
stopped,bundle,org.jboss.tools.jsf.ui,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.ui",1300462901640
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.verification",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.ajax4jsf",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,1.0.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.jbpm",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.jstl",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.richfaces",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.seam",1300462901640
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.jsf",1300462901640
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20110215-1231-H28-GA,"org.jboss.tools.project.examples.cheatsheet",1300462901640
stopped,bundle,org.jboss.tools.project.examples,1.2.0.v20110215-1231-H28-GA,"org.jboss.tools.project.examples",1300462901640
stopped,bundle,org.jboss.tools.runtime,1.2.0.v20110215-1238-H28-GA,"org.jboss.tools.runtime",1300462901640
stopped,bundle,org.jboss.tools.seam.ui,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.ui",1300462901640
stopped,bundle,org.jboss.tools.seam.core,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.core",1300462901656
stopped,bundle,org.jboss.tools.jsf,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf",1300462901656
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.facelets",1300462901656
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.vpe.myfaces",1300462901656
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.vpe.struts",1300462901656
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.docbook",1300462901656
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.html",1300462901656
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.jsp",1300462901656
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.spring",1300462901656
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe",1300462901671
stopped,bundle,org.jboss.tools.jst.css,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.css",1300462901671
stopped,bundle,org.jboss.tools.esb.ui,1.3.0.v20110215-1314-H32-GA,"org.jboss.tools.esb.ui",1300462901671
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.tiles.ui",1300462901671
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.ui.pages",1300462901671
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.xml.ui",1300462901671
stopped,bundle,org.jboss.tools.struts.validator.ui,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.validator.ui",1300462901671
stopped,bundle,org.jboss.tools.struts.ui,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.ui",1300462901671
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.ui",1300462901671
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.ui.palette",1300462901671
stopped,bundle,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp",1300462901671
stopped,bundle,org.jboss.tools.struts.text.ext,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.text.ext",1300462901671
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.text.ext",1300462901671
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.kb",1300462901671
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.el.ui",1300462901671
stopped,bundle,org.jboss.tools.vpe.resref,3.2.0.v20110215-1513-H28-GA,"org.jboss.tools.vpe.resref",1300462901671
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.resref.ui",1300462901671
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20110215-1235-H25-GA,"org.jboss.tools.common.verification.ui",1300462901671
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.xml.ui",1300462901671
stopped,bundle,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui",1300462901671
stopped,bundle,org.jboss.tools.common.text.ext,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.text.ext",1300462901671
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1300462901671
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.apt.ui",1300462901671
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.ui",1300462901671
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.mapper",1300462901671
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.jpt.ui",1300462901671
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.jpt.core",1300462901671
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.ui",1300462901671
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.console",1300462901671
stopped,bundle,org.jboss.tools.common.el.core,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.el.core",1300462901671
stopped,bundle,org.jboss.tools.common.resref.core,3.1.0.v20110215-1235-H25-GA,"org.jboss.tools.common.resref.core",1300462901671
stopped,bundle,org.jboss.tools.struts.verification,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.verification",1300462901671
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.verification",1300462901671
stopped,bundle,org.jboss.tools.common.verification,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.verification",1300462901671
stopped,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.xml",1300462901671
stopped,bundle,org.jboss.tools.cdi.xml,1.0.0.v20110215-1333-H24-GA,"org.jboss.tools.cdi.xml",1300462901671
stopped,bundle,org.jboss.tools.esb.core,1.4.0.v20110215-1314-H32-GA,"org.jboss.tools.esb.core",1300462901671
stopped,bundle,org.jboss.tools.struts,3.2.0.v20110215-1526-H32-GA,"org.jboss.tools.struts",1300462901671
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.tiles",1300462901671
stopped,bundle,org.jboss.tools.seam.pages.xml,3.1.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.pages.xml",1300462901671
stopped,bundle,org.jboss.tools.seam.xml,3.2.0.v20110216-1818-H44-GA,"org.jboss.tools.seam.xml",1300462901671
stopped,bundle,org.jboss.tools.jst.web,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web",1300462901671
stopped,bundle,org.jboss.tools.common.model,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model",1300462901687
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1300462901687
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1300462901687
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1300462901687
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1300462901687
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1300462901687
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,0.9.0.v20110216-1758-H51-GA,"org.jboss.ide.eclipse.as.rse.ui",1300462901687
